1	2	3	4	5
2350, 2 3 4 5				
3276, 2 3 4 5				
5750, 2 3 4 5				
6042, 2 3 4 5				
6490, 2 3 4 5				
6677, 2 3 4 5				
8042, 2 3 4 5				
	2519, 1 3 4 5			
	3269, 1 3 4 5			
	3884, 1 3 4 5			
	6363, 1 3 4 5			
	6671, 1 3 4 5			
	8102, 1 3 4 5			
		2963, 1 3 4 5		
		3303, 1 2 4 5		
		5194, 1 2 4 5		
		6335, 1 2 4 5		
		6682, 1 2 4 5		
		7649, 1 2 4 5		
		8083, 1 2 4 5		
			2219, 1 2 3 5	
			3511, 1 2 3 5	
			3711, 1 2 3 5	
			4129, 1 2 3 5	
			6316, 1 2 3 5	
			6668, 1 2 3 5	
			7645, 1 2 3 5	
			8072, 1 2 3 5
				3286, 1 2 3 4
				6337, 1 2 3 4
				6695, 1 2 3 4
				7646, 1 2 3 4
				8045, 1 2 3 4
