1	2	3	4	5
863, 2 3 4 5		
1027, 2 3 4 5				
1468, 2 3 4 5				
3783, 2 3 4 5				
4051, 2 3 4 5				
4241, 2 3 4 5				
4550, 2 3 4 5				
6330, 2 3 4 5				
7329, 2 3 4 5				
7492, 2 4				
8645, 4				
9076, 2 3 4 5				
	760, 1 3 4 5			
	1516, 1 3 4 5			
	2724, 1 3 4 5			
	3850, 1 3 4 5			
	6294, 1 3 4 5			
	7480, 4			
	7981, 4			
	8286, 3 5			
	8467, 3 5			
	9074, 1 3 4 5			
		1400, 1 2 4 5		
		3780, 1 2 4 5		
		5958, 5		
		6293, 1 2 4 5		
		7399, 5		
		8529, 2 5		
		9066, 1 2 4 5		
			1200, 1 2 3 5	
			2030, 1 2 3 5	
			3758, 1 2 3 5	
			4206, 1 2 3 5	
			5948, 1 2	
			6298, 1 2 3 5	
			7445, 2	
			7843, 1	
			7976, 2	
			8168, 1	
			8519, 1	
			8655, 1	
			9019, 2 3 5	
				1159, 1 2 3 4
				3778, 1 2 3 4
				3958, 1 2 3 4
				5944, 3
				6293, 1 2 3 4
				7389, 3
				8572, 2 3
				9047, 1 2 3 4
