1	2	3	4	5
885, 2 3 4 5				
2020, 3 5				
5603, 5				
6599, 2 3 4 5				
9310, 2 3 4 5				
9903, 2 3 4 5				
	810, 1 3 4 5			
	1870, 4			
	5572, 3			
	6410, 1 3 4 5			
	9141, 1 3 4 5			
	9755, 1 3 4 5			
		1299, 1 2 4 5		
		1857, 1 5		
		5531, 2 4		
		5527, 1
		6746, 1 2 4 5		
		9667, 1 2 4 5		
			1205, 1 2 3 5	
			1925, 2	
			5490, 3	
			6654, 1 2 3 5	
			9110, 1 2 3 5	
				990, 1 2 3 4
				1895, 1 3
				6461, 1 2 3 4
				9390, 4
				9872, 1 2 3 4
