1	2	3	4	5
772, 2				
2031, 3 5				
5746, 5				
6616, 4 2				
7541, 3 2 4 				
9272, 3 2				
9903, 4 3 5				
	829, 4			
	2024, 4			
	4459, 4			
	5881, 3 4			
	6607, 4 1 5			
	9247, 1 3			
	9974, 1 3 4 5			
		1350, 4 2		
		2012, 1 5		
		5965, 3 4		
		7366, 1 4 2		
		9856, 1 2 4 5		
			1210, 4 1	
			1992, 2	
			4616, 4	
			7355, 1 2 3 5	
				1515, 2 4
				1972, 1 3
				6281, 1
				6959, 1 4 3 2
